title,description,pubdate
Fuel supply: UK suspends competition law to get petrol to forecourts,It comes as the Petrol Retailers Association warns that up to two-thirds of its members are out of fuel.,"Mon, 27 Sep 2021 10:12:13 GMT"
Germany elections: Centre-left claim narrow win over Merkel's party,The Social Democrats beat the party of outgoing Chancellor Merkel and may need weeks to form a coalition.,"Mon, 27 Sep 2021 10:22:34 GMT"
Sabina Nessa: Man questioned on suspicion of murder,"The man was arrested in the early hours of Sunday, more than a week after Ms Nessa's death.","Mon, 27 Sep 2021 10:04:06 GMT"
Labour conference: Reeves promises £28bn a year to make economy greener,"Shadow chancellor Rachel Reeves says wind farms, tree-planting and battery technology will be boosted.","Mon, 27 Sep 2021 11:33:49 GMT"
Insulate Britain: M25 targeted near Heathrow as activists stage protest,A total of 53 people are arrested following the protest on the M25 slip road at Heathrow Airport.,"Mon, 27 Sep 2021 10:45:06 GMT"
Man killed as Crete struck by 5.8-magnitude earthquake,Officials say the man died when a church dome collapsed on the southern Greek island.,"Mon, 27 Sep 2021 10:16:20 GMT"
NHS waits: More people feeling forced into private healthcare,Increasing numbers are raising money to go private rather than wait for NHS operations.,"Sun, 26 Sep 2021 23:21:12 GMT"
Labour conference: Angela Rayner renews attack on Johnson in scum row,Labour's deputy leader says she will apologise to the PM in person if he retracts his past comments.,"Mon, 27 Sep 2021 11:12:46 GMT"
Ex-Rochdale footballer jailed for 24 years for child rapes,"Jonathan Diba-Musangu, 23, met his victims through a church in Rochdale where he taught Sunday school.","Mon, 27 Sep 2021 08:31:05 GMT"
Covid: 'I lost my daughter to cancer after the pandemic paused chemotherapy',"Mandy Russell told the BBC she's ""broken"" after 31-year-old Kelly Smith died of bowel cancer.","Mon, 27 Sep 2021 10:14:58 GMT"
Sophie Ellis-Bextor reveals she was raped at the age of 17,The singer recalls being assaulted as a teenager in an attempt to dispel myths around rape.,"Mon, 27 Sep 2021 09:02:36 GMT"
Grant Thornton fined £2.3m for Patisserie Valerie scandal,The accountancy firm has been fined £2.3m for audit failings of bust cake chain Patisserie Valerie,"Mon, 27 Sep 2021 10:34:05 GMT"
The Papers: Army may deliver fuel amid petrol 'shambles',Monday's papers are dominated by reports that soldiers could be called upon to deliver petrol.,"Mon, 27 Sep 2021 04:35:40 GMT"
Interviewing the Taliban: 'Still now I am terrified',Afghan news anchor Behishta Arghand made history when she interviewed the Taliban.,"Sun, 26 Sep 2021 23:08:48 GMT"
Covid-19: NHS waiting lists and Australia's PM on COP26 and quarantine,Five things you need to know about the coronavirus pandemic this Monday morning.,"Mon, 27 Sep 2021 07:05:06 GMT"
"Labour: 'I joined for Corbyn, but I'm staying'",Ana joined the Labour Party in support of Jeremy Corbyn but is staying in the hope of seeing a vision for the future from Keir Starmer.,"Sun, 26 Sep 2021 23:04:23 GMT"
Manta rays inspire new device to filter microplastics,"Wastewater plants release microplastics into the environment, but could manta rays hold the key to a solution?","Sun, 26 Sep 2021 23:10:03 GMT"
Styling a better future for black models at fashion week,How one model and one massive fashion show agency are making life a bit more beautiful for black models.,"Sun, 26 Sep 2021 23:12:06 GMT"
"How climate change is making inequality worse, especially for children","Children will face up to three times as many extreme climate events as their grandparents, research suggests.","Sun, 26 Sep 2021 23:13:26 GMT"
"Love Canal: The suburb built on 20,000 tonnes of chemical waste",How a group of 'hysterical housewives' fought to be evacuated from their polluted homes,"Mon, 27 Sep 2021 00:05:37 GMT"
German elections usher in political change with a small 'c',"While voting patterns are changing, none of the front-running parties can be described as radical.","Mon, 27 Sep 2021 05:03:43 GMT"
"In rural Afghanistan, a family welcomes Taliban rule","The BBC's Jeremy Bowen travels to Helmand province, a month after the hardline Islamists took control.","Sun, 26 Sep 2021 23:55:21 GMT"
Dalai Lama backs bid to save Edinburgh café he inspired,Reka Gawa opened the Himalaya Café after a chance meeting with the spiritual leader almost 20 years ago.,"Mon, 27 Sep 2021 00:07:27 GMT"
Can football-playing robots beat the World Cup winners by 2050?,The robot football league that is hoping to eventually beat the best human team in the world.,"Sun, 26 Sep 2021 23:59:47 GMT"
Xianzi: The #MeToo icon China is trying to silence,A court has thrown out a high-profile sexual harassment case. Can China's feminist movement survive?,"Mon, 27 Sep 2021 00:03:56 GMT"
Covid-19 in the UK: How many coronavirus cases are there in my area?,Explore the data on coronavirus in the UK and find out how many cases there are in your area.,"Sun, 26 Sep 2021 16:15:40 GMT"
China Evergrande: What the company's debt crisis means for the world,"The property giant has missed an interest payment deadline, fuelling concerns that it will collapse.","Mon, 27 Sep 2021 01:23:38 GMT"
Arsenal 3-1 Tottenham: Gunners have had false dawns before but maybe this is different - Keown,Ex-Gunners defender Martin Keown explains why Arsenal's derby win over Tottenham could turn out to be especially important for manager Mikel Arteta.,"Mon, 27 Sep 2021 08:08:39 GMT"
'US will be formidable for 20 years' - McIlroy after Europe thrashed in Ryder Cup,"Rory McIlroy says ""there's phenomenal talent on that team"" after the United States crush Europe by a record margin at Whistling Straits.","Mon, 27 Sep 2021 01:15:56 GMT"
England all-rounder Moeen retires from Test cricket,England all-rounder Moeen Ali announces his retirement from Test cricket.,"Mon, 27 Sep 2021 09:54:58 GMT"
Watch: Tearful McIlroy says he 'should have done more',An emotional Rory McIlroy says he ''should have done more'' for Team Europe after they were beaten by the United States in the Ryder Cup.,"Sun, 26 Sep 2021 22:06:25 GMT"
Who was audacious and who has stage fright? Garth's team of the week,Who impressed with their audacity? Who is suffering from acute stage fright? Who can Liverpool depend on in a crisis? Find out in Garth Crooks' team of the week.,"Sun, 26 Sep 2021 21:44:43 GMT"
Naomi Osaka says she has 'itch' to play tennis again and likely to return 'soon',"Four-time Grand Slam winner Naomi Osaka says she will return to tennis soon after getting the ""itch"" to play again.","Mon, 27 Sep 2021 10:16:14 GMT"
Gas prices: Why are they so high and what is the energy price cap?,Householders face a rise in energy bills - as well as the possibility their supplier could go bust.,"Thu, 23 Sep 2021 14:23:32 GMT"
What can I do if my energy supplier goes bust?,Nearly 1.5 million customers have seen their energy firm collapse amid soaring gas prices.,"Thu, 23 Sep 2021 12:01:28 GMT"
Where does the UK get its gas and is it facing a shortage this winter?,A surge in gas prices has prompted fears of hard times ahead - but how bad could it get?,"Tue, 21 Sep 2021 14:35:33 GMT"
Why is there a CO2 shortage and how will it hit food supplies?,The UK's food industry has been told it must pay five times more for carbon dioxide in future.,"Thu, 23 Sep 2021 12:18:53 GMT"
Heat pumps: What are the alternatives to gas boilers?,No new gas boilers should be sold from 2025 according to the the International Energy Agency.,"Fri, 24 Sep 2021 16:50:21 GMT"
In love with the Resistance: My mother-in-law's war,"Researching family history, Rosie Whitehouse uncovered a story of Protestants and Jews uniting against the Nazis in a French town.","Sat, 25 Sep 2021 23:36:20 GMT"
"CEO Secrets: 'In my business, you eat what you kill'",Music executive Riki Bleau shares his business advice for our CEO Secrets series.,"Tue, 21 Sep 2021 23:16:52 GMT"
'How we re-delivered a baby's postcard - 75 years on',"After an illness, Stu began reuniting old postcards with their owners - and revived some buried memories.","Fri, 24 Sep 2021 01:01:30 GMT"
Ryder Cup: Tales behind Great Britain's wins over the United States,"Britain only defeated the US three times in the first 25 Ryder Cups, but behind each victory is a wealth of remarkable stories.","Tue, 21 Sep 2021 22:53:39 GMT"
The torso in the Thames: A 20-year mystery,"Twenty years ago, a young African boy was murdered and his torso was dumped in the Thames. It's the longest unsolved child murder case in the recent history of the Metropolitan Police.","Tue, 21 Sep 2021 04:58:22 GMT"
